iter	Logloss
0	0.6639125509
1	0.6361968782
2	0.6081257907
3	0.586357031
4	0.5641264006
5	0.5415365688
6	0.5200548595
7	0.5006319383
8	0.4837376625
9	0.4641860828
10	0.446784976
11	0.4297235981
12	0.4161857613
13	0.4006237548
14	0.3853957884
15	0.3723224942
16	0.3597695088
17	0.348005663
18	0.3363788463
19	0.3258450378
20	0.3150403593
21	0.30539171
22	0.2966942767
23	0.2887686564
24	0.2796354112
25	0.2715747277
26	0.2641970313
27	0.2555874403
28	0.2489884846
29	0.2425571981
30	0.2362269283
31	0.2299466823
32	0.2239041899
33	0.2177070714
34	0.2116508252
35	0.2056935999
36	0.2001768274
37	0.1952322595
38	0.1904994056
39	0.1857019465
40	0.1810569942
41	0.176515947
42	0.1725097147
43	0.1681630622
44	0.1637577033
45	0.1599367612
46	0.1560705123
47	0.152510309
48	0.1489277356
49	0.1456341379
