Datetime,Open,High,Low,Close,Volume
2025-10-08 09:30:00-04:00,2.25,5.99,2.25,3.88,209231
2025-10-08 09:35:00-04:00,3.87,4.79,3.8,4.2,292900
2025-10-08 09:40:00-04:00,4.24,4.25,3.9,4.07,257870
2025-10-08 09:45:00-04:00,4.08,4.65,4,4.39,308370
2025-10-08 09:50:00-04:00,4.39,4.39,4.01,4.02,224026
2025-10-08 09:55:00-04:00,4.04,4.09,3.8,3.84,259569
2025-10-08 10:00:00-04:00,3.84,4.03,3.77,4.02,178619
2025-10-08 10:05:00-04:00,4.02,4.09,3.95,4.06,157462
2025-10-08 10:10:00-04:00,4.06,4.08,3.97,4,69260
2025-10-08 10:15:00-04:00,3.98,3.98,3.88,3.92,264077
2025-10-08 10:20:00-04:00,3.94,3.96,3.9,3.92,67664
2025-10-08 10:25:00-04:00,3.91,3.93,3.75,3.79,184333
2025-10-08 10:30:00-04:00,3.8,3.8,3.78,3.78,103616
2025-10-08 10:35:00-04:00,3.78,3.79,3.78,3.78,87085
2025-10-08 10:40:00-04:00,3.78,3.79,3.75,3.78,140699
2025-10-08 10:45:00-04:00,3.77,3.78,3.75,3.78,144422
2025-10-08 10:50:00-04:00,3.78,3.8,3.74,3.78,108032
2025-10-08 10:55:00-04:00,3.78,3.79,3.76,3.78,100339
2025-10-08 11:00:00-04:00,3.78,3.87,3.77,3.86,112731
2025-10-08 11:05:00-04:00,3.86,3.92,3.84,3.87,53149
2025-10-08 11:10:00-04:00,3.88,3.88,3.8,3.84,56195
2025-10-08 11:15:00-04:00,3.84,3.88,3.8,3.84,74001
2025-10-08 11:20:00-04:00,3.84,3.9,3.8,3.81,70702
2025-10-08 11:25:00-04:00,3.82,3.87,3.8,3.85,31228
2025-10-08 11:30:00-04:00,3.85,3.87,3.83,3.85,63979
2025-10-08 11:35:00-04:00,3.85,3.86,3.85,3.85,36651
2025-10-08 11:40:00-04:00,3.85,3.86,3.8,3.84,56050
2025-10-08 11:45:00-04:00,3.85,3.87,3.84,3.86,27640
2025-10-08 11:50:00-04:00,3.87,3.88,3.86,3.87,34186
2025-10-08 11:55:00-04:00,3.87,3.92,3.85,3.86,82474
2025-10-08 12:00:00-04:00,3.86,3.86,3.83,3.84,36318
2025-10-08 12:05:00-04:00,3.83,3.84,3.8,3.81,29928
2025-10-08 12:10:00-04:00,3.83,3.86,3.81,3.85,48259
2025-10-08 12:15:00-04:00,3.85,3.85,3.8,3.81,54700
2025-10-08 12:20:00-04:00,3.8,3.87,3.8,3.8,52821
2025-10-08 12:25:00-04:00,3.8,3.82,3.75,3.76,37133
2025-10-08 12:30:00-04:00,3.78,3.81,3.77,3.8,32373
2025-10-08 12:35:00-04:00,3.81,3.82,3.78,3.78,61957
2025-10-08 12:40:00-04:00,3.8,3.82,3.78,3.8,46043
2025-10-08 12:45:00-04:00,3.8,3.8,3.76,3.78,32331
2025-10-08 12:50:00-04:00,3.78,3.8,3.75,3.79,40729
2025-10-08 12:55:00-04:00,3.79,3.8,3.78,3.79,20003
2025-10-08 13:00:00-04:00,3.79,3.82,3.78,3.82,53169
2025-10-08 13:05:00-04:00,3.82,3.82,3.8,3.82,60531
2025-10-08 13:10:00-04:00,3.81,3.82,3.77,3.81,82967
2025-10-08 13:15:00-04:00,3.82,3.82,3.79,3.79,28107
2025-10-08 13:20:00-04:00,3.79,3.79,3.72,3.72,37450
2025-10-08 13:25:00-04:00,3.74,3.75,3.71,3.74,24228
2025-10-08 13:30:00-04:00,3.72,3.75,3.72,3.75,45525
2025-10-08 13:35:00-04:00,3.73,3.77,3.73,3.76,24006
2025-10-08 13:40:00-04:00,3.77,3.8,3.76,3.79,18382
2025-10-08 13:45:00-04:00,3.79,3.79,3.78,3.79,20357
2025-10-08 13:50:00-04:00,3.79,3.82,3.78,3.81,56581
2025-10-08 13:55:00-04:00,3.81,3.81,3.78,3.81,28457
2025-10-08 14:00:00-04:00,3.81,3.82,3.79,3.81,21371
2025-10-08 14:05:00-04:00,3.8,3.82,3.8,3.82,24182
2025-10-08 14:10:00-04:00,3.8,3.83,3.79,3.8,244750
2025-10-08 14:15:00-04:00,3.8,3.82,3.79,3.8,115008
2025-10-08 14:20:00-04:00,3.8,3.82,3.79,3.8,56268
2025-10-08 14:25:00-04:00,3.8,3.82,3.79,3.8,72055
2025-10-08 14:30:00-04:00,3.8,3.8,3.74,3.78,71446
2025-10-08 14:35:00-04:00,3.76,3.77,3.72,3.72,49442
2025-10-08 14:40:00-04:00,3.73,3.73,3.69,3.72,43998
2025-10-08 14:45:00-04:00,3.72,3.72,3.65,3.66,54857
2025-10-08 14:50:00-04:00,3.67,3.73,3.66,3.72,94569
2025-10-08 14:55:00-04:00,3.72,3.72,3.68,3.68,80641
2025-10-08 15:00:00-04:00,3.7,3.72,3.6,3.6,86687
2025-10-08 15:05:00-04:00,3.63,3.63,3.6,3.61,70357
2025-10-08 15:10:00-04:00,3.61,3.61,3.59,3.61,92586
2025-10-08 15:15:00-04:00,3.6,3.6,3.55,3.58,92221
2025-10-08 15:20:00-04:00,3.59,3.59,3.49,3.51,205029
2025-10-08 15:25:00-04:00,3.5,3.56,3.4,3.45,97454
2025-10-08 15:30:00-04:00,3.46,3.5,3.41,3.44,86299
2025-10-08 15:35:00-04:00,3.46,3.48,3.4,3.48,84648
2025-10-08 15:40:00-04:00,3.48,3.49,3.41,3.46,91137
2025-10-08 15:45:00-04:00,3.43,3.51,3.41,3.48,100737
2025-10-08 15:50:00-04:00,3.46,3.51,3.3,3.33,102739
2025-10-08 15:55:00-04:00,3.34,3.48,3.03,3.05,268394
2025-10-09 09:30:00-04:00,3.7,3.7,3.5,3.56,234607
2025-10-09 09:35:00-04:00,3.54,3.58,3.51,3.54,69621
2025-10-09 09:40:00-04:00,3.53,3.55,3.48,3.48,107917
2025-10-09 09:45:00-04:00,3.5,3.55,3.5,3.53,86925
2025-10-09 09:50:00-04:00,3.54,3.54,3.5,3.51,84660
