date,open,high,low,close,volume,vwap,transactions
2025-10-07,2.25,5.99,2.25,3.16,7588374,3.7869,62986
2025-10-08,3.7,3.7,2.91,3.02,12424792,3.1056,36184
2025-10-09,3.11,3.2,2.85,2.89,6001183,2.9525,23035
2025-10-12,3.14,3.15,2.82,3.02,2085944,2.9639,11546
2025-10-13,3.1,3.1,2.91,2.95,1243181,3.023,8079
2025-10-14,3.09,3.09,2.92,3,1154185,3.0022,6579
2025-10-15,3,3.04,2.9,2.96,857566,2.9653,5505
2025-10-16,2.9,3.05,2.9,2.91,1100547,2.99,5452
2025-10-19,2.98,2.99,2.92,2.93,971028,2.9563,4696
2025-10-20,2.92,2.94,2.8,2.82,801545,2.8708,5074
2025-10-21,2.8,2.93,2.75,2.75,1140895,2.8086,6384
2025-10-22,2.8,2.97,2.76,2.89,1736217,2.8602,7434
2025-10-23,2.89,3.02,2.8,2.93,1765755,2.9341,4501
2025-10-26,3.3,3.3,2.99,3,1340731,3.0514,6660
2025-10-27,3.04,3.04,2.99,3.03,706781,3.0096,3991
2025-10-28,3.01,3.09,2.99,3.06,1236164,3.0155,4275
2025-10-29,3.03,3.25,2.96,3.01,1430790,3.0801,6122
2025-10-30,3.05,3.08,2.97,3,493729,3.0116,3958
2025-11-02,3.05,3.05,2.8,2.89,969520,2.9092,5249
2025-11-03,2.82,2.95,2.8,2.92,402638,2.8854,3215
2025-11-04,2.96,2.96,2.82,2.85,487217,2.888,3073
2025-11-05,2.9,2.91,2.71,2.73,743401,2.819,3485
2025-11-06,2.8,2.95,2.68,2.9,595777,2.7978,3616
2025-11-09,2.96,2.98,2.75,2.8,487732,2.8394,3611
2025-11-10,2.77,2.82,2.7,2.77,800665,2.7341,3018
2025-11-11,2.78,2.8,2.7,2.7,386147,2.7356,2511
2025-11-12,2.78,2.78,2.68,2.69,475471,2.7117,3267
2025-11-13,2.67,2.73,2.61,2.68,769934,2.6634,3792
2025-11-16,2.67,2.69,2.61,2.65,413956,2.6326,2517
2025-11-17,2.67,2.7,2.61,2.67,475682,2.6528,2521
2025-11-18,2.68,2.68,2.56,2.66,596535,2.6288,3086
2025-11-19,2.74,2.77,2.55,2.55,448728,2.636,3064
2025-11-20,2.55,2.7,2.54,2.67,785566,2.6426,3748
2025-11-23,2.67,2.75,2.6,2.6,668339,2.6821,3397
2025-11-24,2.64,2.8,2.62,2.78,560242,2.7119,2838
2025-11-25,2.78,3.03,2.77,3,735210,2.9347,3376
2025-11-27,3.15,3.34,3.11,3.34,1250873,3.2839,4379
2025-11-30,3.29,3.95,3.27,3.68,1855873,3.5692,8668
2025-12-01,3.82,4.04,3.68,3.93,1800567,3.8945,8095
2025-12-02,4.16,4.4,4,4.19,1738217,4.1987,9022
2025-12-03,4.3,4.49,3.31,3.76,2276664,3.9053,9290
2025-12-04,4,4,3.48,3.75,1343856,3.6782,6995
2025-12-07,4,4.1,3.76,3.98,1222375,3.953,6711
2025-12-08,4.05,4.1,3.91,3.98,1386220,3.8794,6998
2025-12-09,3.55,3.85,3.42,3.61,1291965,3.6135,7412
2025-12-10,3.68,3.83,3.37,3.5,897208,3.4987,4491
2025-12-11,3.55,3.55,3.3,3.33,978348,3.3861,5032
2025-12-14,3.45,3.75,3.36,3.58,1449888,3.5914,6110
2025-12-15,3.66,3.67,3.45,3.48,835248,3.5478,26449
2025-12-16,3.55,3.81,3.52,3.66,1346920,3.6568,5871
2025-12-17,3.7,3.77,3.49,3.56,708765,3.5987,4933
2025-12-18,3.6,3.6,3.49,3.5,559474,3.538,3960
2025-12-21,3.6,3.6,3.14,3.18,803271,3.3051,4907
2025-12-22,3.25,3.3,2.85,2.94,975109,3.0228,5106
2025-12-23,2.97,3.13,2.91,3.09,311219,3.0373,1906
2025-12-25,3.15,3.15,2.97,3.09,300354,3.0531,2265
2025-12-28,3.18,3.18,2.92,2.97,553768,2.9989,3325
2025-12-29,3.08,3.13,2.92,3.06,473338,3.0079,3046
2025-12-30,3.03,3.06,2.92,3.01,475298,2.9775,2708
2026-01-01,3.07,3.28,2.97,3.27,633139,3.1463,2853
2026-01-04,3.35,3.35,3.03,3.28,525763,3.151,3041
2026-01-05,3.27,3.27,3.03,3.08,400413,3.1268,2527
2026-01-06,3.32,3.38,3.18,3.26,907470,3.2847,4261
2026-01-07,3.31,3.35,3.2,3.32,322546,3.3016,2925
2026-01-08,3.35,3.36,3.2,3.3,610822,3.289,4109
2026-01-11,3.25,3.29,3.18,3.25,422914,3.2377,3549
2026-01-12,3.2,3.31,3.19,3.23,576996,3.2484,4827
2026-01-13,3.23,3.23,3.05,3.14,694919,3.1439,4705
2026-01-14,3.18,3.24,3.09,3.19,644608,3.1462,4693
2026-01-15,3.18,3.2,3.05,3.06,877799,3.1318,6195
2026-01-19,3.09,3.14,3.01,3.1,859485,3.076,6108
2026-01-20,3.25,3.29,3.14,3.24,958250,3.239,6292
2026-01-21,3.43,3.74,3.37,3.54,1498559,3.5862,7986
2026-01-22,3.59,3.64,3.31,3.58,874092,3.4918,5287
2026-01-25,3.73,4.07,3.59,3.86,2580475,3.8733,11955
2026-01-26,3.97,4.16,3.72,4.12,2346327,3.9736,9975
2026-01-27,4.1,4.1,3.77,3.94,1044869,3.8937,6049
2026-01-28,3.97,3.97,3.65,3.9,1062051,3.781,6219
2026-01-29,3.95,4.05,3.75,3.9,1300610,3.9256,8199
2026-02-01,4.24,4.73,4.05,4.38,2556433,4.5001,15267
2026-02-02,4.27,4.31,3.9,4.21,1730160,4.1307,9874
2026-02-03,4.27,4.36,4.06,4.24,993704,4.2242,6581
2026-02-04,4.2,4.42,4.07,4.11,1199560,4.2317,7147
2026-02-05,4.16,4.36,4.05,4.22,920288,4.1715,5713
2026-02-08,4.3,4.3,4.08,4.24,832837,4.1916,5447
2026-02-09,4.17,4.39,4.1,4.28,840050,4.2981,5314
2026-02-10,4.41,4.41,4.13,4.24,632267,4.2303,5039
2026-02-11,4.21,4.3,3.8,3.9,1214105,4.0329,7315
2026-02-12,3.96,4.16,3.96,4.11,895890,4.0821,6583
2026-02-16,4.14,4.21,4,4.07,429398,4.0898,2439
2026-02-17,4.07,4.33,4,4.22,1214906,4.1986,8343
2026-02-18,4.24,4.315,4.17,4.19,918368,4.2269,5624
2026-02-19,4.15,4.26,4.15,4.25,987215,4.1885,5450
