settlement_date,symbol,cusip,quantity,description,price
2025-10-09,GMEWS,36467W117,168851,GAMESTOP CORP NEW WT EXP 10/30,3.16
2025-10-10,GMEWS,36467W117,1011972,GAMESTOP CORP NEW WT EXP 10/30,3.02
2025-10-14,GMEWS,36467W117,544849,GAMESTOP CORP NEW WT EXP 10/30,3.02
2025-10-15,GMEWS,36467W117,271948,GAMESTOP CORP NEW WT EXP 10/30,2.95
2025-10-16,GMEWS,36467W117,11005,GAMESTOP CORP NEW WT EXP 10/30,3.00
2025-10-17,GMEWS,36467W117,5355,GAMESTOP CORP NEW WT EXP 10/30,2.96
2025-10-20,GMEWS,36467W117,5111,GAMESTOP CORP NEW WT EXP 10/30,2.91
2025-10-21,GMEWS,36467W117,36128,GAMESTOP CORP NEW WT EXP 10/30,2.93
2025-10-22,GMEWS,36467W117,31366,GAMESTOP CORP NEW WT EXP 10/30,2.82
2025-10-24,GMEWS,36467W117,200,GAMESTOP CORP NEW WT EXP 10/30,2.89
2025-10-27,GMEWS,36467W117,174,GAMESTOP CORP NEW WT EXP 10/30,2.93
2025-10-30,GMEWS,36467W117,431,GAMESTOP CORP NEW WT EXP 10/30,3.06
2025-11-04,GMEWS,36467W117,207,GAMESTOP CORP NEW WT EXP 10/30,2.89
2025-11-05,GMEWS,36467W117,613,GAMESTOP CORP NEW WT EXP 10/30,2.92
2025-11-06,GMEWS,36467W117,207,GAMESTOP CORP NEW WT EXP 10/30,2.85
2025-11-10,GMEWS,36467W117,146,GAMESTOP CORP NEW WT EXP 10/30,2.90
2025-11-12,GMEWS,36467W117,25,GAMESTOP CORP NEW WT EXP 10/30,2.77
2025-11-13,GMEWS,36467W117,541,GAMESTOP CORP NEW WT EXP 10/30,2.70
2025-11-14,GMEWS,36467W117,226,GAMESTOP CORP NEW WT EXP 10/30,2.69
2025-11-17,GMEWS,36467W117,1,GAMESTOP CORP NEW WT EXP 10/30,2.68
2025-11-18,GMEWS,36467W117,1,GAMESTOP CORP NEW WT EXP 10/30,2.65
2025-11-19,GMEWS,36467W117,1,GAMESTOP CORP NEW WT EXP 10/30,2.67
2025-11-20,GMEWS,36467W117,519,GAMESTOP CORP NEW WT EXP 10/30,2.66
2025-11-21,GMEWS,36467W117,116,GAMESTOP CORP NEW WT EXP 10/30,2.55
2025-11-24,GMEWS,36467W117,1,GAMESTOP CORP NEW WT EXP 10/30,2.67
2025-11-25,GMEWS,36467W117,276,GAMESTOP CORP NEW WT EXP 10/30,2.60
2025-11-26,GMEWS,36467W117,3871,GAMESTOP CORP NEW WT EXP 10/30,2.78
2025-11-28,GMEWS,36467W117,3454,GAMESTOP CORP NEW WT EXP 10/30,3.00
2025-12-01,GMEWS,36467W117,1,GAMESTOP CORP NEW WT EXP 10/30,3.34
2025-12-02,GMEWS,36467W117,455,GAMESTOP CORP NEW WT EXP 10/30,3.68
2025-12-03,GMEWS,36467W117,841,GAMESTOP CORP NEW WT EXP 10/30,3.93
2025-12-04,GMEWS,36467W117,124149,GAMESTOP CORP NEW WT EXP 10/30,4.19
2025-12-05,GMEWS,36467W117,1,GAMESTOP CORP NEW WT EXP 10/30,3.76
2025-12-08,GMEWS,36467W117,925,GAMESTOP CORP NEW WT EXP 10/30,3.75
2025-12-09,GMEWS,36467W117,75825,GAMESTOP CORP NEW WT EXP 10/30,3.98
2025-12-10,GMEWS,36467W117,82522,GAMESTOP CORP NEW WT EXP 10/30,3.98
2025-12-11,GMEWS,36467W117,318,GAMESTOP CORP NEW WT EXP 10/30,3.61
2025-12-12,GMEWS,36467W117,1,GAMESTOP CORP NEW WT EXP 10/30,3.50
2025-12-15,GMEWS,36467W117,581,GAMESTOP CORP NEW WT EXP 10/30,3.33
2025-12-16,GMEWS,36467W117,183099,GAMESTOP CORP NEW WT EXP 10/30,3.58
2025-12-17,GMEWS,36467W117,117648,GAMESTOP CORP NEW WT EXP 10/30,3.48
2025-12-18,GMEWS,36467W117,64798,GAMESTOP CORP NEW WT EXP 10/30,3.66
2025-12-19,GMEWS,36467W117,21610,GAMESTOP CORP NEW WT EXP 10/30,3.56
2025-12-22,GMEWS,36467W117,144958,GAMESTOP CORP NEW WT EXP 10/30,3.50
2025-12-23,GMEWS,36467W117,53599,GAMESTOP CORP NEW WT EXP 10/30,3.18
2025-12-24,GMEWS,36467W117,44490,GAMESTOP CORP NEW WT EXP 10/30,2.94
2025-12-26,GMEWS,36467W117,26146,GAMESTOP CORP NEW WT EXP 10/30,3.09
2025-12-29,GMEWS,36467W117,51246,GAMESTOP CORP NEW WT EXP 10/30,3.09
2025-12-30,GMEWS,36467W117,35586,GAMESTOP CORP NEW WT EXP 10/30,2.97
2025-12-31,GMEWS,36467W117,72200,GAMESTOP CORP NEW WT EXP 10/30,3.06
2026-01-02,GMEWS,36467W117,1773,GAMESTOP CORP NEW WT EXP 10/30,3.01
2026-01-05,GMEWS,36467W117,60520,GAMESTOP CORP NEW WT EXP 10/30,3.27
2026-01-06,GMEWS,36467W117,28526,GAMESTOP CORP NEW WT EXP 10/30,3.28
2026-01-07,GMEWS,36467W117,14849,GAMESTOP CORP NEW WT EXP 10/30,3.08
2026-01-08,GMEWS,36467W117,1,GAMESTOP CORP NEW WT EXP 10/30,3.26
2026-01-09,GMEWS,36467W117,2544,GAMESTOP CORP NEW WT EXP 10/30,3.32
2026-01-12,GMEWS,36467W117,1538,GAMESTOP CORP NEW WT EXP 10/30,3.30
2026-01-13,GMEWS,36467W117,253,GAMESTOP CORP NEW WT EXP 10/30,3.25
2026-01-14,GMEWS,36467W117,1,GAMESTOP CORP NEW WT EXP 10/30,3.23
2026-01-15,GMEWS,36467W117,9059,GAMESTOP CORP NEW WT EXP 10/30,3.14
2026-01-16,GMEWS,36467W117,4475,GAMESTOP CORP NEW WT EXP 10/30,3.19
2026-01-20,GMEWS,36467W117,69745,GAMESTOP CORP NEW WT EXP 10/30,3.06
2026-01-21,GMEWS,36467W117,26159,GAMESTOP CORP NEW WT EXP 10/30,3.10
2026-01-22,GMEWS,36467W117,20971,GAMESTOP CORP NEW WT EXP 10/30,3.24
2026-01-23,GMEWS,36467W117,1031,GAMESTOP CORP NEW WT EXP 10/30,3.54
2026-01-26,GMEWS,36467W117,24447,GAMESTOP CORP NEW WT EXP 10/30,3.58
2026-01-27,GMEWS,36467W117,5260,GAMESTOP CORP NEW WT EXP 10/30,3.86
2026-01-28,GMEWS,36467W117,46900,GAMESTOP CORP NEW WT EXP 10/30,4.12
2026-01-29,GMEWS,36467W117,36979,GAMESTOP CORP NEW WT EXP 10/30,3.94
2026-01-30,GMEWS,36467W117,89001,GAMESTOP CORP NEW WT EXP 10/30,3.90
