filing_date,owner_name,owner_cik,form_type,shares_beneficially_owned,percent_of_class,sole_voting_power,shared_voting_power,sole_dispositive_power,shared_dispositive_power,filing_url
2005-11-10,FMR CORP,315066,SC 13D/G,7105466,16.937,0,0,733738,0,https://www.sec.gov/Archives/edgar/data/315066/000031506605002769/filing.txt
2006-01-10,WELLINGTON MANAGEMENT CO LLP,902219,SC 13D/G,2870821,6.77,0,2262982,0,2828621,https://www.sec.gov/Archives/edgar/data/902219/000090221906000077/sec_filing.htm
2006-02-10,FRANKLIN RESOURCES INC  (BEN),38777,SC 13D/G,35845,0.1,4,0,4,0,https://www.sec.gov/Archives/edgar/data/38777/000003877706000235/game05a1.htm
2006-02-14,FMR CORP,315066,SC 13D/G,5750042,13.554,0,0,65533,0,https://www.sec.gov/Archives/edgar/data/315066/000031506606002946/filing.txt
2007-02-13,CITADEL L P,1027745,SC 13G,6,0.4,0,160,0,6,https://www.sec.gov/Archives/edgar/data/1027745/000114420407007110/v064835_sc13ga.htm
2007-02-14,FMR CORP,315066,SC 13D/G,7635993,16.622,0,0,53499,0,https://www.sec.gov/Archives/edgar/data/315066/000031506607001799/filing.txt
2007-02-14,WELLINGTON MANAGEMENT CO LLP,902219,SC 13D/G,1153800,2.51,0,794800,0,1111600,https://www.sec.gov/Archives/edgar/data/902219/000090221907000791/sec_filing.htm
2007-04-10,FMR CORP,315066,SC 13D/G,14571664,9.607,0,0,0,0,https://www.sec.gov/Archives/edgar/data/315066/000031506607002579/filing.txt
2008-02-13,AMERICAN CENTURY INVESTMENT MANAGEMENT INC,52388,SC 13G,8607635,5.3,8265099,7,8607635,9,https://www.sec.gov/Archives/edgar/data/52388/000005238808000052/sc13g-a1.htm
2008-02-14,FMR LLC,315066,SC 13D/G,11308579,7.025,0,0,22500,0,https://www.sec.gov/Archives/edgar/data/315066/000031506608001659/filing.txt
2009-02-13,AMERICAN CENTURY INVESTMENT MANAGEMENT INC,52388,SC 13G,151951,0.1,140783,7,151951,9,https://www.sec.gov/Archives/edgar/data/52388/000005238809000038/sc13g-exit.htm
2009-02-17,FMR LLC,315066,SC 13D/G,7361630,4.495,0,0,165160,0,https://www.sec.gov/Archives/edgar/data/315066/000031506609001734/filing.txt
2010-12-09,BlackRock Inc.  (BLK),1364742,SC 13D/G,15152168,10.08,15152168,7,15152168,9,https://www.sec.gov/Archives/edgar/data/1364742/000108636410010030/gamestop11302010.txt
2011-01-10,BlackRock Inc.  (BLK),1364742,SC 13D/G,15349635,10.14,15349635,7,15349635,9,https://www.sec.gov/Archives/edgar/data/1364742/000108636411000165/gamestopcorpnew123110.txt
2011-07-11,FMR LLC,315066,SC 13D/G,15731949,11.123,0,0,243190,0,https://www.sec.gov/Archives/edgar/data/315066/000031506611003715/filing.txt
2012-02-09,RS INVESTMENT MANAGEMENT CO LLC,1085256,SC 13G,10684022,7.8,0,10484874,0,10684022,https://www.sec.gov/Archives/edgar/data/1085256/000108525612000012/gme13ga1.txt
2012-02-09,BlackRock Inc.  (BLK),1364742,SC 13D/G,13230913,9.7,13230913,7,13230913,9,https://www.sec.gov/Archives/edgar/data/1364742/000108636412000362/gamestop.corp..txt
2012-02-14,UBS GLOBAL ASSET MANAGEMENT AMERICAS INC,861177,SC 13D/G,6545856,4.8,4153581,0,0,6545856,https://www.sec.gov/Archives/edgar/data/861177/000086117712000009/gamestop_amend1.txt
2012-02-14,FMR LLC,315066,SC 13D/G,17803639,13.05,0,0,44535,0,https://www.sec.gov/Archives/edgar/data/315066/000031506612002663/filing.txt
2012-04-10,RS INVESTMENT MANAGEMENT CO LLC,1085256,SC 13G,14127253,10.5,0,13728375,0,14127253,https://www.sec.gov/Archives/edgar/data/1085256/000108525612000027/gme13ga2.txt
2012-04-11,BlackRock Inc.  (BLK),1364742,SC 13D/G,13411808,10.01,13411808,7,13411808,9,https://www.sec.gov/Archives/edgar/data/1364742/000108636412002323/gamestop.corp..txt
2013-02-08,BlackRock Inc.  (BLK),1364742,SC 13D/G,6677174,5.51,6677174,7,6677174,9,https://www.sec.gov/Archives/edgar/data/1364742/000130522713000463/gamestop.corp..txt
2013-02-12,VANGUARD GROUP INC,102909,SC 13D/G,7106851,5.86,221680,160,160,208080,https://www.sec.gov/Archives/edgar/data/102909/000093247113003716/gamestopcorp.htm
2013-02-13,GAMESTOP HOLDINGS CORP,1157644,SC 13D/G,4768928,3.9,4214963,0,4763394,5534,https://www.sec.gov/Archives/edgar/data/1157644/000153215513000043/gme1231_g.txt
2013-02-14,FMR LLC,315066,SC 13D/G,18623985,15.369,0,0,37856,0,https://www.sec.gov/Archives/edgar/data/315066/000031506613002471/filing.txt
2013-02-15,RS INVESTMENT MANAGEMENT CO LLC,1085256,SC 13G,6969004,5.6,0,6783180,0,6969004,https://www.sec.gov/Archives/edgar/data/1085256/000108525613000034/gme13ga2.txt
2014-01-28,ROYCE & ASSOCIATES LLC,906304,SC 13D/G,2648566,2.29,2648566,7,2648566,9,https://www.sec.gov/Archives/edgar/data/906304/000090630414000252/gme1.txt
2014-01-29,BlackRock Inc.  (BLK),1364742,SC 13D/G,8847707,7.6,6901209,7,8847707,9,https://www.sec.gov/Archives/edgar/data/1364742/000108636414000892/gamestop.corp..txt
2014-02-11,VANGUARD GROUP INC,102909,SC 13D/G,9233271,7.97,190173,160,160,177073,https://www.sec.gov/Archives/edgar/data/102909/000093247114003050/gamestop.htm
2014-02-14,RS INVESTMENT MANAGEMENT CO LLC,1085256,SC 13G,0,0.0,0,7,0,9,https://www.sec.gov/Archives/edgar/data/1085256/000119312514054022/d676690dsc13ga.htm
2014-02-14,FMR LLC,315066,SC 13D/G,13308045,11.491,0,0,36908,0,https://www.sec.gov/Archives/edgar/data/315066/000031506614002156/filing.txt
2015-02-09,BlackRock Inc.  (BLK),1364742,SC 13D/G,6085940,5.6,5092458,7,6085940,9,https://www.sec.gov/Archives/edgar/data/1364742/000021545715000196/gamestop.corp.class.a.txt
2015-02-10,VANGUARD GROUP INC,102909,SC 13D/G,8488944,7.82,189591,160,160,181960,https://www.sec.gov/Archives/edgar/data/102909/000093247115003975/gamestopcorp.htm
2015-02-13,FMR LLC,315066,SC 13D/G,16276675,14.999,0,0,0,0,https://www.sec.gov/Archives/edgar/data/315066/000031506615001971/filing.txt
2016-02-10,VANGUARD GROUP INC,102909,SC 13D/G,10201922,9.74,196245,9800,160,206514,https://www.sec.gov/Archives/edgar/data/102909/000093247116011131/gamestopcorp.htm
2016-02-10,BlackRock Inc.  (BLK),1364742,SC 13D/G,6241267,6.0,5264440,7,6241267,9,https://www.sec.gov/Archives/edgar/data/1364742/000021545716005585/gamestop.corp.clas.2015.txt
2016-02-11,AMERICAN INTERNATIONAL GROUP INC  (AIG),5272,SC 13G,7981966,7.6,0,7981966,0,7981966,https://www.sec.gov/Archives/edgar/data/5272/000119312516460037/d129796dsc13ga.htm
2016-02-12,Capital World Investors,1422849,SC 13D/G,500000,0.5,500000,7,500000,9,https://www.sec.gov/Archives/edgar/data/1422849/000142284916000608/edggme.txt
2016-02-12,FMR LLC,315066,SC 13D/G,15700286,14.999,0,0,0,0,https://www.sec.gov/Archives/edgar/data/315066/000031506616005088/filing.txt
2016-02-16,ALLIANCEBERNSTEIN L.P.,1109448,SC 13G,7999403,7.6,7061422,0,7995486,3917,https://www.sec.gov/Archives/edgar/data/1109448/000153215516000167/SEC13G_Filing.htm
