week_ending,symbol,total_weekly_volume,ats_volume,otc_volume,ats_pct
2021-12-06,GME,5705048,1382260,4322788,0.24228718145754427
2021-12-13,GME,7962108,2027601,5934507,0.25465630458667476
2021-12-20,GME,2050161,351572,1698589,0.1714850687336263
2021-12-27,GME,3472738,546632,2926106,0.15740663418893103
2022-01-03,GME,9507762,1847708,7660054,0.19433679555714584
2022-01-10,GME,6296499,1421441,4875058,0.2257510086160579
2022-01-17,GME,5644260,1255554,4388706,0.22244793825939982
2022-01-24,GME,10514635,2706843,7807792,0.25743575502145344
2022-01-31,GME,6477159,1345118,5132041,0.2076709866162001
2022-02-07,GME,7547597,1652658,5894939,0.21896479104541486
2022-02-14,GME,4003398,824690,3178708,0.20599750511940107
2022-02-21,GME,2735495,535292,2200203,0.19568377935254863
2022-02-28,GME,2490857,595662,1895195,0.2391393805425201
2022-03-07,GME,3765650,1062833,2702817,0.28224423406317634
2022-03-14,GME,9687915,1847286,7840629,0.19067941863651777
2022-03-21,GME,31957534,4623708,27333826,0.1446828782220806
2022-03-28,GME,31268839,4537604,26731235,0.1451158452029511
2022-04-04,GME,8819176,1172622,7646554,0.1329627620539606
2022-04-11,GME,3932906,571680,3361226,0.14535816518370895
2022-04-18,GME,3867803,743820,3123983,0.19231072523600606
2022-04-25,GME,3080382,693451,2386931,0.22511850802919897
2022-05-02,GME,4157997,1051618,3106379,0.2529145643924226
2022-05-09,GME,11464264,2877205,8587059,0.2509716280085664
2022-05-16,GME,6621852,1169866,5451986,0.17666749422971095
2022-05-23,GME,18488823,2901925,15586898,0.1569556374681071
2022-05-30,GME,9566106,1460825,8105281,0.15270842702349316
2022-06-06,GME,10298374,1623351,8675023,0.15763177759906563
2022-06-13,GME,7462782,1313379,6149403,0.1759905354330329
2022-06-20,GME,5121097,779363,4341734,0.15218672874190822
2022-06-27,GME,4381706,633616,3748090,0.14460486395025135
2022-07-04,GME,6590926,1030242,5560684,0.1563121782887564
2022-07-11,GME,7917923,1132903,6785020,0.14308083066733537
2022-07-18,GME,8726322,1397954,7328368,0.1601996809194068
2022-07-25,GME,9222628,1137355,8085273,0.12332222442453496
2022-08-01,GME,11908461,1770683,10137778,0.14869117008486654
2022-08-08,GME,17676123,2890596,14785527,0.16353110916913172
2022-08-15,GME,25220476,4665156,20555320,0.18497493861733616
2022-08-22,GME,9695592,2166981,7528611,0.22350166962471193
2022-08-29,GME,9216673,2399937,6816736,0.2603908156446475
2022-09-05,GME,17350102,3160302,14189800,0.18214890033499515
2022-09-12,GME,8993297,1742969,7250328,0.1938075657903881
2022-09-19,GME,8032483,1864627,6167856,0.232135816533941
2022-09-26,GME,7391759,1430491,5961268,0.19352511357580787
2022-10-03,GME,6218371,1278805,4939566,0.20564951817767066
2022-10-10,GME,6905528,1642477,5263051,0.2378495894883056
2022-10-17,GME,7766438,2472112,5294326,0.3183070540188436
2022-10-24,GME,11156967,2137451,9019516,0.1915799338655389
2022-10-31,GME,19141548,2568236,16573312,0.13417075776734463
2022-11-07,GME,9894471,2319224,7575247,0.23439595709563452
2022-11-14,GME,6948758,1436993,5511765,0.2067985386741055
2022-11-21,GME,5096319,957703,4138616,0.1879205363714477
2022-11-28,GME,9279258,1563302,7715956,0.16847273779864727
2022-12-05,GME,14529354,4862145,9667209,0.33464288914703294
2022-12-12,GME,12662999,2259754,10403245,0.1784533032025036
2022-12-19,GME,7172194,1647756,5524438,0.22974225181304353
2022-12-26,GME,7082938,1527465,5555473,0.21565415368594218
2023-01-02,GME,8816393,2253390,6563003,0.2555909202323445
2023-01-09,GME,12729789,2445857,10283932,0.1921364918145933
2023-01-16,GME,8225894,1863047,6362847,0.226485656148742
2023-01-23,GME,13070831,2743148,10327683,0.20986791122920953
2023-01-30,GME,10308498,2059779,8248719,0.19981368769727656
2023-02-06,GME,12553047,2990987,9562060,0.23826780860455632
2023-02-13,GME,7787480,1900684,5886796,0.2440691982515525
2023-02-20,GME,3723925,736285,2987640,0.19771746208637392
2023-02-27,GME,6733473,1336539,5396934,0.19849177385875016
2023-03-06,GME,4638552,1051207,3587345,0.22662395506183827
2023-03-13,GME,6356351,1886881,4469470,0.29684971770753377
2023-03-20,GME,52467929,9786965,42680964,0.18653232911098894
2023-03-27,GME,10434208,1963876,8470332,0.1882151477141341
2023-04-03,GME,5372130,1009274,4362856,0.187872222005052
2023-04-10,GME,4289478,978686,3310792,0.22815969682091852
2023-04-17,GME,4511922,1033603,3478319,0.22908263928321457
2023-04-24,GME,4734321,1117664,3616657,0.2360769369039404
2023-05-01,GME,5253865,1015157,4238708,0.19322099064212728
2023-05-08,GME,3997504,878763,3118741,0.2198279226237172
2023-05-15,GME,6082025,1209282,4872743,0.1988288440116573
2023-05-22,GME,6757231,1851088,4906143,0.27394179657318213
2023-05-29,GME,6954784,1574910,5379874,0.22644987967994404
2023-06-05,GME,50376972,9341376,41035596,0.1854294855196934
