settlement_date,symbol,cusip,quantity,description,price
2004-05-12,GME,36466R101,55628,GAMESTOP CORP CL-A,0
2004-06-14,GME,36466R101,236800,GAMESTOP CORP CL-A,0
2004-06-15,GME,36466R101,107460,GAMESTOP CORP CL-A,0
2004-07-19,GME,36466R101,104180,GAMESTOP CORP CL-A,0
2004-07-28,GME,36466R101,190360,GAMESTOP CORP CL-A,0
2004-08-11,GME,36466R101,96592,GAMESTOP CORP CL-A,0
2004-09-14,GME,36466R101,53356,GAMESTOP CORP CL-A,0
2004-09-23,GME,36466R101,103280,GAMESTOP CORP CL-A,0
2004-10-12,GME,36466R101,65492,GAMESTOP CORP CL-A,0
2004-10-14,GME,36466R101,43424,GAMESTOP CORP CL-A,0
2004-11-02,GME,36466R101,47880,GAMESTOP CORP CL-A,0
2004-11-05,GME,36466R101,279156,GAMESTOP CORP CL-A,0
2004-11-08,GME,36466R101,366044,GAMESTOP CORP CL-A,0
2004-11-09,GME,36466R101,284044,GAMESTOP CORP CL-A,0
2004-11-10,GME,36466R101,281256,GAMESTOP CORP CL-A,0
2004-11-12,GME,36466R101,112844,GAMESTOP CORP CL-A,0
2004-11-15,GME,36466R101,76780,GAMESTOP CORP CL-A,0
2004-11-18,GME,36466R101,95840,GAMESTOP CORP CL-A,0
2004-11-29,GME,36466R101,684244,GAMESTOP CORP CL-A,0
2004-11-30,GME,36466R101,372796,GAMESTOP CORP CL-A,0
2004-12-03,GME,36466R101,64704,GAMESTOP CORP CL-A,0
2004-12-06,GME,36466R101,151476,GAMESTOP CORP CL-A,0
2004-12-07,GME,36466R101,160708,GAMESTOP CORP CL-A,0
2004-12-15,GME,36466R101,76328,GAMESTOP CORP CL-A,0
2004-12-21,GME,36466R101,61988,GAMESTOP CORP CL-A,0
2004-12-31,GME,36466R101,165884,GAMESTOP CORP CL-A,0
2005-01-05,GME,36466R101,42000,GAMESTOP CORP CL-A,0
2005-01-06,GME,36466R101,42800,GAMESTOP CORP CL-A,0
2005-01-12,GME,36466R101,96804,GAMESTOP CORP CL-A,0
2005-01-13,GME,36466R101,51204,GAMESTOP CORP CL-A,0
2005-01-14,GME,36466R101,121408,GAMESTOP CORP CL-A,0
2005-01-19,GME,36466R101,123548,GAMESTOP CORP CL-A,0
2005-01-21,GME,36466R101,342756,GAMESTOP CORP CL-A,0
2005-01-24,GME,36466R101,572852,GAMESTOP CORP CL-A,0
2005-02-16,GME,36466R101,97896,GAMESTOP CORP CL-A,0
2005-02-22,GME,36466R101,113588,GAMESTOP CORP CL-A,0
2005-03-01,GME,36466R101,86372,GAMESTOP CORP CL-A,0
2005-03-02,GME,36466R101,73984,GAMESTOP CORP CL-A,0
2005-03-16,GME,36466R101,152108,GAMESTOP CORP CL-A,0
2005-03-17,GME,36466R101,454320,GAMESTOP CORP CL-A,0
2005-03-18,GME,36466R101,756348,GAMESTOP CORP CL-A,0
2005-03-21,GME,36466R101,594256,GAMESTOP CORP CL-A,0
2005-03-30,GME,36466R101,47024,GAMESTOP CORP CL-A,0
2005-04-06,GME,36466R101,64192,GAMESTOP CORP CL-A,0
2005-04-12,GME,36466R101,71332,GAMESTOP CORP CL-A,0
2005-04-13,GME,36466R101,44532,GAMESTOP CORP CL-A,0
