date,symbol,exchange,volume,exercised,open_interest,product_kind,expiration
2026-01-08,GME,A,2276,0,2246,OSTK,2026-01-09
2026-01-08,GME,A,51,0,51,OSTK,2026-01-16
2026-01-08,GME,A,179,0,179,OSTK,2026-01-23
2026-01-08,GME,A,288,0,288,OSTK,2026-01-30
2026-01-08,GME,A,362,0,362,OSTK,2026-02-06
2026-01-08,GME,A,59,0,59,OSTK,2026-02-13
2026-01-08,GME,A,226,0,226,OSTK,2026-02-20
2026-01-08,GME,A,44,0,44,OSTK,2026-02-27
2026-01-08,GME,A,416,0,416,OSTK,2026-04-17
2026-01-08,GME,A,18,0,18,OSTK,2026-06-18
2026-01-08,GME,A,2,0,2,OSTK,2026-07-17
2026-01-08,GME,A,135,0,135,OSTK,2026-09-18
2026-01-08,GME,A,0,0,102,OSTK,2026-10-16
2026-01-08,GME,A,59,0,59,OSTK,2026-12-18
2026-01-08,GME,A,7,0,7,OSTK,2027-01-15
2026-01-08,GME,A,12,0,12,OSTK,2027-09-17
2026-01-08,GME,A,2,0,2,OSTK,2027-12-17
2026-01-08,GME,A,89,0,9,OSTK,2028-01-21
2026-01-08,GME,A,13,0,13,OSTK,2028-12-15
2026-01-08,GME,B,1124,0,1134,OSTK,2026-01-09
2026-01-08,GME,B,154,0,80,OSTK,2026-01-16
2026-01-08,GME,B,141,0,141,OSTK,2026-01-23
2026-01-08,GME,B,76,0,76,OSTK,2026-01-30
2026-01-08,GME,B,14,0,14,OSTK,2026-02-06
2026-01-08,GME,B,8,0,8,OSTK,2026-02-13
2026-01-08,GME,B,89,0,89,OSTK,2026-02-20
2026-01-08,GME,B,5,0,5,OSTK,2026-02-27
2026-01-08,GME,B,1,0,1,OSTK,2026-04-17
2026-01-08,GME,B,39,0,39,OSTK,2026-06-18
2026-01-08,GME,B,10,0,10,OSTK,2026-07-17
2026-01-08,GME,B,49,0,49,OSTK,2026-09-18
2026-01-08,GME,B,0,0,22,OSTK,2026-10-16
2026-01-08,GME,B,80,0,80,OSTK,2026-12-18
2026-01-08,GME,B,30,0,30,OSTK,2027-01-15
2026-01-08,GME,B,11,0,11,OSTK,2027-12-17
2026-01-08,GME,B,6,0,6,OSTK,2028-01-21
2026-01-08,GME,B,70,0,70,OSTK,2028-06-16
2026-01-08,GME,B,2,0,2,OSTK,2028-12-15
2026-01-08,GME,C,2562,0,2488,OSTK,2026-01-09
2026-01-08,GME,C,505,0,445,OSTK,2026-01-16
2026-01-08,GME,C,278,0,278,OSTK,2026-01-23
2026-01-08,GME,C,607,0,443,OSTK,2026-01-30
2026-01-08,GME,C,93,0,93,OSTK,2026-02-06
2026-01-08,GME,C,164,0,164,OSTK,2026-02-13
2026-01-08,GME,C,954,0,882,OSTK,2026-02-20
2026-01-08,GME,C,90,0,90,OSTK,2026-02-27
2026-01-08,GME,C,13,0,13,OSTK,2026-04-17
2026-01-08,GME,C,1762,0,1760,OSTK,2026-06-18
2026-01-08,GME,C,8,0,8,OSTK,2026-07-17
2026-01-08,GME,C,155,0,155,OSTK,2026-09-18
2026-01-08,GME,C,0,0,124,OSTK,2026-10-16
2026-01-08,GME,C,47,0,47,OSTK,2026-12-18
2026-01-08,GME,C,37,0,37,OSTK,2027-01-15
2026-01-08,GME,C,41,0,41,OSTK,2027-12-17
2026-01-08,GME,C,5,0,5,OSTK,2028-01-21
2026-01-08,GME,C,14,0,14,OSTK,2028-06-16
2026-01-08,GME,C,38,0,38,OSTK,2028-12-15
2026-01-08,GME,D,2042,0,1882,OSTK,2026-01-09
2026-01-08,GME,D,2231,0,1879,OSTK,2026-01-16
2026-01-08,GME,D,162,0,162,OSTK,2026-01-23
2026-01-08,GME,D,130,0,78,OSTK,2026-01-30
2026-01-08,GME,D,76,0,76,OSTK,2026-02-06
2026-01-08,GME,D,24,0,24,OSTK,2026-02-13
2026-01-08,GME,D,304,0,222,OSTK,2026-02-20
2026-01-08,GME,D,4,0,4,OSTK,2026-02-27
2026-01-08,GME,D,537,0,531,OSTK,2026-04-17
2026-01-08,GME,D,79,0,79,OSTK,2026-06-18
2026-01-08,GME,D,9,0,9,OSTK,2026-07-17
2026-01-08,GME,D,14,0,14,OSTK,2026-09-18
2026-01-08,GME,D,28,0,28,OSTK,2026-10-16
2026-01-08,GME,D,14,0,14,OSTK,2026-12-18
2026-01-08,GME,D,107,0,107,OSTK,2027-01-15
2026-01-08,GME,D,4,0,4,OSTK,2027-09-17
2026-01-08,GME,D,2,0,4,OSTK,2027-12-17
2026-01-08,GME,D,208,0,124,OSTK,2028-01-21
