date,symbol,market,threshold_shares,consecutive_days
2019-10-18,GME,NYSE,0,0
2019-10-21,GME,NYSE,0,0
2019-10-22,GME,NYSE,0,0
2019-10-23,GME,NYSE,0,0
2019-10-24,GME,NYSE,0,0
2019-10-25,GME,NYSE,0,0
2019-10-28,GME,NYSE,0,0
2019-10-29,GME,NYSE,0,0
2020-03-16,GME,NYSE,0,0
2020-03-17,GME,NYSE,0,0
2020-03-18,GME,NYSE,0,0
2020-03-19,GME,NYSE,0,0
2020-03-20,GME,NYSE,0,0
2020-03-23,GME,NYSE,0,0
2020-03-24,GME,NYSE,0,0
2020-03-25,GME,NYSE,0,0
2020-03-26,GME,NYSE,0,0
2020-03-27,GME,NYSE,0,0
2020-03-30,GME,NYSE,0,0
2020-03-31,GME,NYSE,0,0
2020-04-01,GME,NYSE,0,0
2020-04-02,GME,NYSE,0,0
2020-04-03,GME,NYSE,0,0
2020-04-17,GME,NYSE,0,0
2020-04-20,GME,NYSE,0,0
2020-04-21,GME,NYSE,0,0
2020-04-22,GME,NYSE,0,0
2020-04-23,GME,NYSE,0,0
2020-04-24,GME,NYSE,0,0
2020-04-27,GME,NYSE,0,0
2020-04-28,GME,NYSE,0,0
2020-04-29,GME,NYSE,0,0
2020-04-30,GME,NYSE,0,0
2020-05-01,GME,NYSE,0,0
2020-05-04,GME,NYSE,0,0
2020-05-05,GME,NYSE,0,0
2020-05-06,GME,NYSE,0,0
2020-05-07,GME,NYSE,0,0
2020-05-08,GME,NYSE,0,0
2020-05-11,GME,NYSE,0,0
2020-09-22,GME,NYSE,0,0
2020-09-23,GME,NYSE,0,0
2020-09-24,GME,NYSE,0,0
2020-09-25,GME,NYSE,0,0
2020-09-28,GME,NYSE,0,0
2020-09-29,GME,NYSE,0,0
2020-09-30,GME,NYSE,0,0
2020-10-01,GME,NYSE,0,0
2020-10-02,GME,NYSE,0,0
2020-10-05,GME,NYSE,0,0
2020-10-06,GME,NYSE,0,0
2020-10-07,GME,NYSE,0,0
2020-12-08,GME,NYSE,0,0
2020-12-09,GME,NYSE,0,0
2020-12-10,GME,NYSE,0,0
2020-12-11,GME,NYSE,0,0
2020-12-14,GME,NYSE,0,0
2020-12-15,GME,NYSE,0,0
2020-12-16,GME,NYSE,0,0
2020-12-17,GME,NYSE,0,0
2020-12-18,GME,NYSE,0,0
2020-12-21,GME,NYSE,0,0
2020-12-22,GME,NYSE,0,0
2020-12-23,GME,NYSE,0,0
2020-12-24,GME,NYSE,0,0
2020-12-28,GME,NYSE,0,0
2020-12-29,GME,NYSE,0,0
2020-12-30,GME,NYSE,0,0
2020-12-31,GME,NYSE,0,0
2021-01-04,GME,NYSE,0,0
2021-01-05,GME,NYSE,0,0
2021-01-06,GME,NYSE,0,0
2021-01-07,GME,NYSE,0,0
2021-01-08,GME,NYSE,0,0
2021-01-11,GME,NYSE,0,0
2021-01-12,GME,NYSE,0,0
2021-01-13,GME,NYSE,0,0
2021-01-14,GME,NYSE,0,0
2021-01-15,GME,NYSE,0,0
2021-01-19,GME,NYSE,0,0
2021-01-20,GME,NYSE,0,0
2021-01-21,GME,NYSE,0,0
2021-01-22,GME,NYSE,0,0
2021-01-25,GME,NYSE,0,0
2021-01-26,GME,NYSE,0,0
2021-01-27,GME,NYSE,0,0
2021-01-28,GME,NYSE,0,0
2021-01-29,GME,NYSE,0,0
2021-02-01,GME,NYSE,0,0
2021-02-02,GME,NYSE,0,0
2021-02-03,GME,NYSE,0,0
