accession_number,filing_date,report_date,form,primary_document,description,filing_url
0000950123-05-006637,2005-05-23,,S-4,y09199sv4.htm,FORM S-4,https://www.sec.gov/Archives/edgar/data/1326380/000095012305006637/y09199sv4.htm
0001104659-05-027528,2005-06-09,,425,a05-10629_1425.htm,425,https://www.sec.gov/Archives/edgar/data/1326380/000110465905027528/a05-10629_1425.htm
0000950138-05-000521,2005-06-09,,425,june_9-425.txt,GAMESTOP\2005\JUNE 9 425,https://www.sec.gov/Archives/edgar/data/1326380/000095013805000521/june_9-425.txt
0001104659-05-028235,2005-06-15,,425,a05-10846_18k.htm,425,https://www.sec.gov/Archives/edgar/data/1326380/000110465905028235/a05-10846_18k.htm
0000000000-05-031867,2005-06-22,,UPLOAD,filename1.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000000000005031867/filename1.txt
0000950123-05-008117,2005-07-01,,CORRESP,filename1.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000095012305008117/filename1.txt
0000950123-05-008304,2005-07-08,,S-4/A,y09199a1sv4za.htm,AMENDMENT NO. 1 TO FORM S-4,https://www.sec.gov/Archives/edgar/data/1326380/000095012305008304/y09199a1sv4za.htm
0000000000-05-043481,2005-08-23,,UPLOAD,filename1.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000000000005043481/filename1.txt
0000950138-05-000872,2005-08-26,,CORRESP,filename1.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000095013805000872/filename1.txt
0000950123-05-010722,2005-09-02,,CORRESP,filename1.txt,,https://www.sec.gov/Archives/edgar/data/1326380/000095012305010722/filename1.txt
0000950123-05-010711,2005-09-02,,S-4/A,y09199a2sv4za.htm,AMENDMENT NO. 2 TO FORM S-4,https://www.sec.gov/Archives/edgar/data/1326380/000095012305010711/y09199a2sv4za.htm
0001104659-05-042916,2005-09-06,,425,a05-15870_18k.htm,425,https://www.sec.gov/Archives/edgar/data/1326380/000110465905042916/a05-15870_18k.htm
0000950138-05-000889,2005-09-06,,425,sept_6-425.txt,GAMESTOP\2005\SEPT 6 425,https://www.sec.gov/Archives/edgar/data/1326380/000095013805000889/sept_6-425.txt
0000950123-05-010756,2005-09-06,,424B3,y09199b3e424b3.htm,FILED PURSUANT TO RULE 424(B)(3),https://www.sec.gov/Archives/edgar/data/1326380/000095012305010756/y09199b3e424b3.htm
0000950123-05-011537,2005-09-27,,425,y13102fte425.htm,FILED PURSUANT TO RULE 425,https://www.sec.gov/Archives/edgar/data/1326380/000095012305011537/y13102fte425.htm
0000950138-05-000965,2005-09-30,,425,sept_30-425.txt,GAMESTOP\2005\SEPT 30 425,https://www.sec.gov/Archives/edgar/data/1326380/000095013805000965/sept_30-425.txt
0000950138-05-000969,2005-10-03,,8-A12B,oct3_8-a.txt,GAMESTOP\2005\OCT 3 8-A,https://www.sec.gov/Archives/edgar/data/1326380/000095013805000969/oct3_8-a.txt
9999999997-05-041555,2005-10-04,,CERTNYS,9999999997-05-041555.paper,AUTO-GENERATED PAPER DOCUMENT,https://www.sec.gov/Archives/edgar/data/1326380/999999999705041555/9999999997-05-041555.paper
0000950138-05-000987,2005-10-07,,POS AM,pos-am.txt,\GAMESTOP\2005 FILINGS\OCT POS-AM\,https://www.sec.gov/Archives/edgar/data/1326380/000095013805000987/pos-am.txt
0000950138-05-000986,2005-10-07,,S-4,s-4.txt,\GAMESTOP\2005 FILINGS\OCT S-4\,https://www.sec.gov/Archives/edgar/data/1326380/000095013805000986/s-4.txt
0001104659-05-047579,2005-10-07,,425,a05-17299_18k.htm,425,https://www.sec.gov/Archives/edgar/data/1326380/000110465905047579/a05-17299_18k.htm
0000950138-05-001012,2005-10-11,2005-10-08,3,xslF345X02/volkwein_ex.xml,,https://www.sec.gov/Archives/edgar/data/1326380/000095013805001012/xslF345X02/volkwein_ex.xml
0000950138-05-001011,2005-10-11,2005-10-08,3,xslF345X02/szczepanski_ex.xml,,https://www.sec.gov/Archives/edgar/data/1326380/000095013805001011/xslF345X02/szczepanski_ex.xml
0000950138-05-001010,2005-10-11,2005-10-08,3,xslF345X02/steinberg_ex.xml,,https://www.sec.gov/Archives/edgar/data/1326380/000095013805001010/xslF345X02/steinberg_ex.xml
0000950138-05-001009,2005-10-11,2005-10-08,3,xslF345X02/shern_ex.xml,,https://www.sec.gov/Archives/edgar/data/1326380/000095013805001009/xslF345X02/shern_ex.xml
0000950138-05-001008,2005-10-11,2005-10-08,3,xslF345X02/rosen_ex.xml,,https://www.sec.gov/Archives/edgar/data/1326380/000095013805001008/xslF345X02/rosen_ex.xml
0000950138-05-001007,2005-10-11,2005-10-08,3,xslF345X02/riggio_ex.xml,,https://www.sec.gov/Archives/edgar/data/1326380/000095013805001007/xslF345X02/riggio_ex.xml
0000950138-05-001006,2005-10-11,2005-10-08,3,xslF345X02/oct11_kim-3ex.xml,,https://www.sec.gov/Archives/edgar/data/1326380/000095013805001006/xslF345X02/oct11_kim-3ex.xml
0000950138-05-001005,2005-10-11,2005-10-08,3,xslF345X02/freeman_ex.xml,,https://www.sec.gov/Archives/edgar/data/1326380/000095013805001005/xslF345X02/freeman_ex.xml
0000950138-05-001004,2005-10-11,2005-10-08,3,xslF345X02/fontaine_ex.xml,,https://www.sec.gov/Archives/edgar/data/1326380/000095013805001004/xslF345X02/fontaine_ex.xml
