settlement_date,symbol,short_interest,avg_daily_volume,days_to_cover,short_interest_pct
2017-12-29,GME,36411374,2420954,15.04,0.0
2018-01-12,GME,35860720,4824997,7.43,0.0
2018-01-31,GME,34995314,3862447,9.06,0.0
2018-02-15,GME,36036284,3636343,9.91,0.0
2018-02-28,GME,34531012,3155225,10.94,0.0
2018-03-15,GME,31573372,3152699,10.01,0.0
2018-03-29,GME,32741206,6860176,4.77,0.0
2018-04-13,GME,38637109,5472483,7.06,0.0
2018-04-30,GME,41132039,3601591,11.42,0.0
2018-05-15,GME,43576689,4056383,10.74,0.0
2018-05-31,GME,44122712,4899812,9.0,0.0
2018-06-15,GME,43492169,8164640,5.33,0.0
2018-06-29,GME,45820054,6749387,6.79,0.0
2018-07-13,GME,46082458,3018622,15.27,0.0
2018-07-31,GME,40433500,2077622,19.46,0.0
2018-08-15,GME,39487626,2207704,17.89,0.0
2018-08-31,GME,39264736,5011840,7.83,0.0
2018-09-14,GME,33049840,5843456,5.66,0.0
2018-09-28,GME,32220492,2255378,14.29,0.0
2018-10-15,GME,26644451,2268101,11.75,0.0
2018-10-31,GME,24019096,2279315,10.54,0.0
2018-11-15,GME,26839637,2286339,11.74,0.0
2018-11-30,GME,28056745,5942396,4.72,0.0
2018-12-14,GME,27571943,2822835,9.77,0.0
2018-12-31,GME,29725132,2475536,12.01,0.0
2019-01-15,GME,30285373,3867048,7.83,0.0
2019-01-31,GME,33667346,6232868,5.4,0.0
2019-02-15,GME,32920238,2793851,11.78,0.0
2019-02-28,GME,35270945,2996878,11.77,0.0
2019-03-15,GME,38523726,3127356,12.32,0.0
2019-03-29,GME,37916795,3280822,11.56,0.0
2019-04-15,GME,41267606,6957610,5.93,0.0
2019-04-30,GME,39295659,3798211,10.35,0.0
2019-05-15,GME,39837855,2586065,15.4,0.0
2019-05-31,GME,41916196,3543259,11.83,0.0
2019-06-14,GME,46908850,12757290,3.68,0.0
2019-06-28,GME,47834755,4273128,11.19,0.0
2019-07-15,GME,66891494,7883287,8.49,0.0
2019-07-31,GME,57226706,6348362,9.01,0.0
2019-08-15,GME,58090529,4581776,12.68,0.0
2019-08-30,GME,60383797,9148701,6.6,0.0
2019-09-13,GME,60733786,12075919,5.03,0.0
2019-09-30,GME,62209621,9211770,6.75,0.0
2019-10-15,GME,64833717,5616880,11.54,0.0
2019-10-31,GME,64955956,3698276,17.56,0.0
2019-11-15,GME,67269826,2893952,23.24,0.0
2019-11-29,GME,67243112,2788547,24.11,0.0
2019-12-13,GME,68951766,5828480,11.83,0.0
2019-12-31,GME,62679757,4838178,12.96,0.0
2020-01-15,GME,65163827,4386250,14.86,0.0
2020-01-31,GME,63365288,2667014,23.76,0.0
2020-02-14,GME,66318641,2557793,25.93,0.0
2020-02-28,GME,68131107,3181115,21.42,0.0
2020-03-13,GME,62514110,3457769,18.08,0.0
2020-03-31,GME,55993560,4819680,11.62,0.0
2020-04-15,GME,58844647,4778578,12.31,0.0
2020-04-30,GME,57024141,3843461,14.84,0.0
2020-05-15,GME,55593021,2511834,22.13,0.0
2020-05-29,GME,56337561,2220521,25.37,0.0
2020-06-15,GME,59990702,5203820,11.53,0.0
2020-06-30,GME,54559609,3204606,17.03,0.0
2020-07-15,GME,53499964,2072383,25.82,0.0
2020-07-31,GME,54524532,2618558,20.82,0.0
2020-08-14,GME,55688385,3593418,15.5,0.0
2020-08-31,GME,57860937,3626133,15.96,0.0
2020-09-15,GME,66409745,10885180,6.1,0.0
2020-09-30,GME,68628509,12207895,5.62,0.0
2020-10-15,GME,70337051,19796553,3.55,0.0
2020-10-30,GME,66806277,8242526,8.11,0.0
2020-11-13,GME,67454064,4802213,14.05,0.0
2020-11-30,GME,67982121,7797115,8.72,0.0
2020-12-15,GME,68127116,9885845,6.89,0.0
2020-12-31,GME,71196206,11588797,6.14,0.0
2021-01-15,GME,61782730,29385884,2.1,0.0
2021-01-29,GME,21409004,96789540,1.0,0.0
2021-02-12,GME,16468038,40407815,1.0,0.0
2021-02-26,GME,14200138,35190707,1.0,0.0
2021-03-15,GME,10187324,35871397,1.0,0.0
2021-03-31,GME,10696160,21048359,1.0,0.0
2021-04-15,GME,11112124,9852978,1.13,0.0
2021-04-30,GME,11817478,5600751,2.11,0.0
2021-05-14,GME,11972632,3803141,3.15,0.0
2021-05-28,GME,11971702,8235755,1.45,0.0
2021-06-15,GME,9670734,11563428,1.0,0.0
2021-06-30,GME,8224618,5256753,1.56,0.0
2021-07-15,GME,8075454,2903947,2.78,0.0
2021-07-30,GME,7664869,2270693,3.38,0.0
2021-08-13,GME,7573914,3029440,2.5,0.0
2021-08-31,GME,7796968,4313674,1.81,0.0
2021-09-15,GME,7375940,3598836,2.05,0.0
2021-09-30,GME,7820947,2502466,3.13,0.0
2021-10-15,GME,7672089,1451392,5.29,0.0
2021-10-29,GME,7060752,1985671,3.56,0.0
2021-11-15,GME,6775394,3054295,2.22,0.0
2021-11-30,GME,6421977,1972550,3.26,0.0
2021-12-15,GME,8611843,3611552,2.38,0.0
2021-12-31,GME,8449995,1798277,4.7,0.0
2022-01-14,GME,9377532,4058237,2.31,0.0
2022-01-31,GME,10998384,4406441,2.5,0.0
2022-02-15,GME,11943772,2972597,4.02,0.0
2022-02-28,GME,11713653,1698488,6.9,0.0
2022-03-15,GME,12345458,2120654,5.82,0.0
2022-03-31,GME,12249471,11318231,1.08,0.0
2022-04-14,GME,14128064,4123456,3.43,0.0
2022-04-29,GME,13540994,1668138,8.12,0.0
2022-05-13,GME,15123772,3723329,4.06,0.0
2022-05-31,GME,15537841,4982613,3.12,0.0
2022-06-15,GME,14511385,4145012,3.5,0.0
2022-06-30,GME,13301379,2407151,5.53,0.0
2022-07-15,GME,14905476,3378234,4.41,0.0
2022-07-29,GME,59908446,7672095,7.81,0.0
2022-08-15,GME,53245515,6687641,7.96,0.0
2022-08-31,GME,49593249,7571276,6.55,0.0
2022-09-15,GME,49525156,6831517,7.25,0.0
2022-09-30,GME,51092394,3714374,13.76,0.0
2022-10-14,GME,53883909,3260389,16.53,0.0
2022-10-31,GME,53372724,6399185,8.34,0.0
2022-11-15,GME,54655571,4828453,11.32,0.0
2022-11-30,GME,54620238,2877559,18.98,0.0
2022-12-15,GME,54707097,6511642,8.4,0.0
2022-12-30,GME,58411815,4488808,13.01,0.0
2023-01-13,GME,60337728,5296325,11.39,0.0
2023-01-31,GME,57882022,5063509,11.43,0.0
2023-02-15,GME,57289638,5213661,10.99,0.0
2023-02-28,GME,56850983,3064416,18.55,0.0
2023-03-15,GME,58505711,3080681,18.99,0.0
2023-03-31,GME,56723649,11504931,4.93,0.0
2023-04-14,GME,56072019,2757166,20.34,0.0
2023-04-28,GME,57709747,2508441,23.01,0.0
2023-05-15,GME,57320808,2380357,24.08,0.0
2023-05-31,GME,55841413,3444084,16.21,0.0
2023-06-15,GME,55155121,9085204,6.07,0.0
2023-06-30,GME,52281039,2832327,18.46,0.0
2023-07-14,GME,51660779,2347478,22.01,0.0
2023-07-31,GME,50478950,2379949,21.21,0.0
2023-08-15,GME,51203657,2119414,24.16,0.0
2023-08-31,GME,51250434,2999209,17.09,0.0
2023-09-15,GME,53950371,4272009,12.63,0.0
2023-09-29,GME,55894055,3084825,18.12,0.0
2023-10-13,GME,58558450,2990283,19.58,0.0
2023-10-31,GME,59938352,3493866,17.16,0.0
2023-11-15,GME,60673347,3312791,18.31,0.0
2023-11-30,GME,63590274,11206851,5.67,0.0
2023-12-15,GME,62664063,11523582,5.44,0.0
2023-12-29,GME,61174273,4627616,13.22,0.0
2024-01-12,GME,60104977,3190257,18.84,0.0
2024-01-31,GME,59673027,2885946,20.68,0.0
