date,symbol,short_volume,total_volume,short_exempt_volume,short_volume_ratio
2019-02-22,GME,670667,1058203,3100,0.633779
2019-02-25,GME,934745,1541190,6639,0.606509
2019-02-26,GME,355093,734500,2337,0.483449
2019-02-27,GME,759069,1351553,315,0.561627
2019-02-28,GME,404170,867701,500,0.465794
2019-03-01,GME,288735,560990,0,0.514688
2019-03-04,GME,323865,588226,649,0.550579
2019-03-05,GME,1460020,1991870,4120,0.73299
2019-03-06,GME,570480,951946,100,0.599278
2019-03-07,GME,405320,638966,136,0.634337
2019-03-08,GME,1646349,2398751,7302,0.686336
2019-03-11,GME,390985,753576,500,0.51884
2019-03-12,GME,475526,713460,301,0.666507
2019-03-13,GME,431822,627810,0,0.687823
2019-03-14,GME,619282,909009,1801,0.681272
2019-03-15,GME,418348,555137,210,0.753594
2019-03-18,GME,295147,551256,1000,0.535408
2019-03-19,GME,706031,944790,30,0.747289
2019-03-20,GME,858888,1334816,0,0.64345
2019-03-21,GME,484863,770199,4100,0.62953
2019-03-22,GME,577943,923665,2407,0.625706
2019-03-25,GME,1056651,1665477,3,0.634443
2019-03-26,GME,655537,1170105,1175,0.560238
2019-03-27,GME,339435,676064,400,0.502075
2019-03-28,GME,516393,916064,112,0.563708
2019-03-29,GME,544517,892890,1926,0.609837
2019-04-01,GME,778552,1293865,1210,0.601726
2019-04-02,GME,1900445,2571155,1560,0.739141
2019-04-03,GME,6883745,11799415,163657,0.583397
2019-04-04,GME,1614739,3657786,27272,0.441453
2019-04-05,GME,1356596,2054028,100,0.660456
2019-04-08,GME,1068939,1456333,827,0.733994
2019-04-09,GME,524065,950669,0,0.551259
2019-04-10,GME,382658,790251,0,0.484223
2019-04-11,GME,316427,561907,300,0.563131
2019-04-12,GME,1080156,1875009,6216,0.57608
2019-04-15,GME,1355390,2133034,1180,0.635428
2019-04-16,GME,656169,2040092,1820,0.321637
2019-04-17,GME,1168695,1699334,209,0.687737
2019-04-18,GME,614790,1256623,589,0.48924
2019-04-22,GME,1964752,2733534,14342,0.718759
2019-04-23,GME,1346074,2084386,9810,0.645789
2019-04-24,GME,1409196,2233857,300,0.630835
2019-04-25,GME,563677,858305,495,0.656733
2019-04-26,GME,295265,741517,4100,0.39819
2019-04-29,GME,475541,887847,100,0.535611
2019-04-30,GME,389338,884068,88,0.440394
2019-05-01,GME,636228,866734,100,0.734052
2019-05-02,GME,544293,870838,1000,0.625022
2019-05-03,GME,305016,618773,0,0.492937
2019-05-06,GME,305713,611982,1000,0.499546
2019-05-07,GME,524954,800223,3500,0.65601
2019-05-08,GME,334076,542711,900,0.615569
2019-05-09,GME,321022,655337,13996,0.489858
2019-05-10,GME,497951,676981,6100,0.735546
2019-05-13,GME,513403,797899,15476,0.643444
2019-05-14,GME,416829,1000251,1500,0.416724
2019-05-15,GME,358970,640640,200,0.56033
2019-05-16,GME,232726,462556,0,0.50313
2019-05-17,GME,235129,467696,2300,0.502739
2019-05-20,GME,1373171,2023543,2641,0.678597
2019-05-21,GME,914342,1719765,5676,0.531667
2019-05-22,GME,1237633,1689445,13739,0.732568
2019-05-23,GME,1000257,1349983,2700,0.74094
2019-05-24,GME,300393,582901,0,0.515341
2019-05-28,GME,507557,997164,2346,0.509001
2019-05-29,GME,1072955,1384375,7751,0.775047
2019-05-30,GME,482072,637290,0,0.756441
2019-05-31,GME,875210,1050803,2862,0.832896
2019-06-03,GME,1074873,1296943,363,0.828774
2019-06-04,GME,1928441,2374992,2200,0.811978
2019-06-05,GME,11468734,19047162,741051,0.602123
2019-06-06,GME,3961080,6277843,162900,0.630962
2019-06-07,GME,2024085,3278907,1400,0.617305
2019-06-10,GME,4500426,6645132,2337,0.677252
2019-06-11,GME,2472169,4972584,13032,0.49716
2019-06-12,GME,1036299,1607635,605,0.644611
2019-06-13,GME,930406,1583708,100,0.587486
2019-06-14,GME,1074727,2885620,1000,0.372442
2019-06-17,GME,418882,1230821,800,0.340327
2019-06-18,GME,698990,1075649,0,0.649831
2019-06-19,GME,571914,884296,3621,0.646745
2019-06-20,GME,640482,986839,200,0.649024
2019-06-21,GME,911528,1678952,594,0.542915
2019-06-24,GME,924763,1397560,5382,0.661698
2019-06-25,GME,432347,756443,1004,0.571553
2019-06-26,GME,565969,973603,0,0.581314
2019-06-27,GME,563441,859180,68,0.655789
2019-06-28,GME,396506,760688,48506,0.521247
2019-07-01,GME,998757,1335035,3350,0.748113
2019-07-02,GME,978190,1397295,4291,0.70006
2019-07-03,GME,583894,757398,200,0.770921
2019-07-05,GME,2231416,3141362,300,0.710334
2019-07-08,GME,1018659,1241856,0,0.820271
2019-07-09,GME,1811765,2708376,0,0.668949
2019-07-10,GME,1301899,2839415,796,0.45851
2019-07-11,GME,2471825,4444993,9506,0.556092
2019-07-12,GME,794385,1435622,0,0.553339
2019-07-15,GME,785286,1115766,1640,0.703809
2019-07-16,GME,1118010,1568663,600,0.712715
2019-07-17,GME,1759619,2487678,600,0.707334
2019-07-18,GME,1880572,2502196,784,0.751569
2019-07-19,GME,1799149,2711232,3800,0.663591
2019-07-22,GME,1302084,1681031,0,0.774575
2019-07-23,GME,1909142,4126011,2500,0.462709
2019-07-24,GME,685456,2022053,4600,0.33899
2019-07-25,GME,1510379,2199514,14416,0.686688
2019-07-26,GME,783742,1167801,157,0.671126
2019-07-29,GME,714646,1243165,1564,0.57486
2019-07-30,GME,1288401,1867521,816,0.689899
2019-07-31,GME,942198,1439294,0,0.654625
2019-08-01,GME,1474112,2027659,42975,0.727002
2019-08-02,GME,909048,1100427,6454,0.826087
2019-08-05,GME,1381542,1844076,0,0.749178
2019-08-06,GME,711637,1022134,1,0.696227
2019-08-07,GME,477534,2343975,700,0.203728
2019-08-08,GME,390215,655155,400,0.595607
2019-08-09,GME,669537,973690,9300,0.687629
2019-08-12,GME,694912,987042,1330,0.704035
2019-08-13,GME,960574,1488961,6079,0.64513
2019-08-14,GME,1218643,1632647,2500,0.746422
2019-08-15,GME,1455672,1938309,4437,0.751001
2019-08-16,GME,550761,899053,0,0.612601
2019-08-19,GME,406366,735185,5,0.55274
2019-08-20,GME,1041512,1619899,1752,0.642949
2019-08-21,GME,830032,2198439,8903,0.377555
2019-08-22,GME,7193788,11155749,35989,0.64485
2019-08-23,GME,2418458,3836455,33841,0.630389
2019-08-26,GME,3033502,4534062,31094,0.669047
2019-08-27,GME,1581258,2648503,6768,0.597038
2019-08-28,GME,1800468,2718185,7,0.662379
2019-08-29,GME,3945658,6557126,6947,0.601736
2019-08-30,GME,2537270,4145865,14103,0.612
2019-09-03,GME,2330705,3709390,33842,0.628326
2019-09-04,GME,1035301,1842439,7570,0.561919
2019-09-05,GME,1497219,2769210,1458,0.540666
2019-09-06,GME,1567278,2352861,20919,0.666116
2019-09-09,GME,3379056,5704751,14557,0.592323
2019-09-10,GME,2976330,5357983,11780,0.555494
2019-09-11,GME,10001988,15507095,540926,0.644994
2019-09-12,GME,2710731,4244044,169035,0.638714
2019-09-13,GME,1736839,2850107,8837,0.609394
2019-09-16,GME,1362339,2305881,4181,0.590811
2019-09-17,GME,1663011,2776604,12517,0.598937
2019-09-18,GME,1741987,3114315,1300,0.559348
2019-09-19,GME,1099806,1383539,1201,0.794922
2019-09-20,GME,1659828,2493176,2063,0.665748
2019-09-23,GME,3003283,4498666,4795,0.667594
2019-09-24,GME,2389454,4117180,2762,0.580362
2019-09-25,GME,2405280,3840762,903,0.626251
2019-09-26,GME,1181714,1965295,3700,0.601291
2019-09-27,GME,1036185,1707620,380,0.606801
2019-09-30,GME,1446649,2392920,9421,0.604554
2019-10-01,GME,1395445,2636767,7113,0.529226
2019-10-02,GME,1270679,2441546,2315,0.52044
2019-10-03,GME,765411,1157628,32899,0.661189
2019-10-04,GME,606749,1147855,1590,0.528594
2019-10-07,GME,693398,1216354,4001,0.570063
2019-10-08,GME,713763,1170756,6067,0.60966
2019-10-09,GME,563184,1309385,9600,0.430113
2019-10-10,GME,795239,1299392,2141,0.612009
2019-10-11,GME,1132038,1896198,8300,0.597004
2019-10-14,GME,1165147,1712041,23783,0.68056
2019-10-15,GME,1514916,2196606,70601,0.689662
2019-10-16,GME,609658,1336163,3683,0.456275
2019-10-17,GME,692604,1351853,3420,0.512337
2019-10-18,GME,905847,1448136,18518,0.625526
2019-10-21,GME,871978,1340590,7903,0.650443
2019-10-22,GME,884955,1663614,1751,0.531947
2019-10-23,GME,1088816,1720589,7523,0.632816
2019-10-24,GME,1004115,1580643,2031,0.635257
2019-10-25,GME,457403,789487,2110,0.579367
2019-10-28,GME,567865,982049,8941,0.578245
2019-10-29,GME,797123,1352238,6700,0.589484
2019-10-30,GME,980932,1566863,2335,0.626048
2019-10-31,GME,1186348,1820175,10020,0.651777
2019-11-01,GME,1651253,2266621,10150,0.728509
2019-11-04,GME,1176029,1525875,9888,0.770724
2019-11-05,GME,683303,1243742,4540,0.549393
2019-11-06,GME,959598,1425585,4711,0.673126
2019-11-07,GME,469918,785376,1300,0.598335
2019-11-08,GME,469158,668184,300,0.702139
2019-11-11,GME,698211,1154507,7013,0.60477
2019-11-12,GME,486954,668259,200,0.728691
2019-11-13,GME,214649,371507,1130,0.577779
2019-11-14,GME,327234,559219,3501,0.585163
2019-11-15,GME,329352,633624,2700,0.519791
2019-11-18,GME,717067,1221243,1600,0.587162
2019-11-19,GME,825319,1244038,0,0.663419
2019-11-20,GME,514837,762752,1901,0.674973
2019-11-21,GME,981713,1199804,1305,0.818228
2019-11-22,GME,843712,1190630,690,0.708627
2019-11-25,GME,751999,1194717,4123,0.629437
2019-11-26,GME,442526,865845,4177,0.511091
2019-11-27,GME,609059,1163132,28585,0.523637
2019-11-29,GME,226434,379432,961,0.596771
2019-12-02,GME,423356,682205,4576,0.62057
2019-12-03,GME,888731,1099200,620,0.808525
2019-12-04,GME,445395,905617,11621,0.491814
2019-12-05,GME,640506,1727732,2100,0.370721
2019-12-06,GME,661332,1466204,23594,0.45105
2019-12-09,GME,1121189,2003819,19817,0.559526
2019-12-10,GME,1437883,2624222,12198,0.547927
2019-12-11,GME,4627982,8283519,260630,0.558698
2019-12-12,GME,1580599,2923889,91732,0.540581
2019-12-13,GME,1281933,2085665,11891,0.61464
2019-12-16,GME,710327,1483630,14991,0.478776
2019-12-17,GME,786755,1453837,17205,0.541158
2019-12-18,GME,692706,1555908,7471,0.44521
2019-12-19,GME,910764,1543187,22891,0.590184
2019-12-20,GME,694793,1261322,9936,0.550845
2019-12-23,GME,1550888,2365588,6146,0.655604
2019-12-24,GME,687905,1185229,17000,0.580398
2019-12-26,GME,1120738,1755237,2650,0.638511
2019-12-27,GME,1212552,2314874,7360,0.523809
2019-12-30,GME,856055,1536582,27356,0.557116
