strategy,config,timeframe,total_return_pct,total_pnl,total_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe,sortino,calmar,avg_win,avg_loss
MACDOBVStrategy,default | risk-0.5%,5m,-37.1635,-37163.5499,1197,46.7,0.59,37.7916,-0.38,-0.54,-0.55,94.35,-140.91
MACDOBVStrategy,default | risk-1%,5m,-37.1635,-37163.5499,1197,46.7,0.59,37.7916,-0.38,-0.54,-0.55,94.35,-140.91
MACDOBVStrategy,default | risk-2%,5m,-37.1635,-37163.5499,1197,46.7,0.59,37.7916,-0.38,-0.54,-0.55,94.35,-140.91
MACDOBVStrategy,long-only | risk-0.5%,5m,-21.8181,-21818.0977,686,45.48,0.63,22.6933,-0.33,-0.44,-0.51,117.9,-156.69
MACDOBVStrategy,long-only | risk-1%,5m,-21.8181,-21818.0977,686,45.48,0.63,22.6933,-0.33,-0.44,-0.51,117.9,-156.69
MACDOBVStrategy,long-only | risk-2%,5m,-21.8181,-21818.0977,686,45.48,0.63,22.6933,-0.33,-0.44,-0.51,117.9,-156.69
MACDOBVStrategy,short-only | risk-0.5%,5m,-17.5665,-17566.5213,648,48.46,0.67,18.1775,-0.18,-0.26,-0.51,115.14,-160.84
MACDOBVStrategy,short-only | risk-1%,5m,-17.5665,-17566.5213,648,48.46,0.67,18.1775,-0.18,-0.26,-0.51,115.14,-160.84
MACDOBVStrategy,short-only | risk-2%,5m,-17.5665,-17566.5213,648,48.46,0.67,18.1775,-0.18,-0.26,-0.51,115.14,-160.84
MACDOBVStrategy,tight-sl | risk-0.5%,5m,-40.3285,-40328.4887,1232,44.4,0.46,41.1021,-0.47,-0.67,-0.56,62.22,-108.56
MACDOBVStrategy,tight-sl | risk-1%,5m,-40.3285,-40328.4887,1232,44.4,0.46,41.1021,-0.47,-0.67,-0.56,62.22,-108.56
MACDOBVStrategy,tight-sl | risk-2%,5m,-40.3285,-40328.4887,1232,44.4,0.46,41.1021,-0.47,-0.67,-0.56,62.22,-108.56
