strategy,config,timeframe,total_return_pct,total_pnl,total_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe,sortino,calmar,avg_win,avg_loss
DmiVwapStrategy,default | risk-0.5%,5m,-31.508,-31507.973,861,35.89,0.68,32.6257,-0.3,-0.41,-0.53,212.13,-175.83
DmiVwapStrategy,default | risk-1%,5m,-31.9904,-31990.41,861,35.89,0.68,33.1015,-0.27,-0.36,-0.53,220.62,-181.45
DmiVwapStrategy,default | risk-2%,5m,-32.2962,-32296.2263,861,35.89,0.68,33.4074,-0.27,-0.36,-0.53,221.02,-182.23
DmiVwapStrategy,adx-20 | risk-0.5%,5m,-31.1046,-31104.6361,1047,36.29,0.73,32.6523,-0.26,-0.37,-0.53,224.11,-174.31
DmiVwapStrategy,adx-20 | risk-1%,5m,-32.194,-32193.9782,1047,36.29,0.73,33.7103,-0.24,-0.34,-0.53,230.07,-179.34
DmiVwapStrategy,adx-20 | risk-2%,5m,-32.4762,-32476.2086,1047,36.29,0.73,33.9921,-0.24,-0.32,-0.53,230.54,-180.03
DmiVwapStrategy,adx-30 | risk-0.5%,5m,-28.8414,-28841.4126,693,34.78,0.65,30.4959,-0.31,-0.43,-0.52,218.22,-180.16
DmiVwapStrategy,adx-30 | risk-1%,5m,-29.2573,-29257.3247,693,34.78,0.65,30.8985,-0.29,-0.39,-0.52,224.8,-184.59
DmiVwapStrategy,adx-30 | risk-2%,5m,-29.5342,-29534.2495,693,34.78,0.65,31.1725,-0.28,-0.37,-0.52,227.86,-186.83
DmiVwapStrategy,adx-rising | risk-0.5%,5m,-33.6349,-33634.8983,795,34.97,0.63,33.9783,-0.34,-0.46,-0.55,208.94,-177.41
DmiVwapStrategy,adx-rising | risk-1%,5m,-34.128,-34127.9615,795,34.97,0.64,34.4728,-0.31,-0.41,-0.55,217.96,-183.21
DmiVwapStrategy,adx-rising | risk-2%,5m,-34.4105,-34410.5355,795,34.97,0.64,34.7537,-0.3,-0.4,-0.55,218.43,-184.01
DmiVwapStrategy,rr-1.5 | risk-0.5%,5m,-31.508,-31507.973,861,35.89,0.68,32.6257,-0.3,-0.41,-0.53,212.13,-175.83
DmiVwapStrategy,rr-1.5 | risk-1%,5m,-31.9904,-31990.41,861,35.89,0.68,33.1015,-0.27,-0.36,-0.53,220.62,-181.45
DmiVwapStrategy,rr-1.5 | risk-2%,5m,-32.2962,-32296.2263,861,35.89,0.68,33.4074,-0.27,-0.36,-0.53,221.02,-182.23
DmiVwapStrategy,rr-2.5 | risk-0.5%,5m,-31.508,-31507.973,861,35.89,0.68,32.6257,-0.3,-0.41,-0.53,212.13,-175.83
DmiVwapStrategy,rr-2.5 | risk-1%,5m,-31.9904,-31990.41,861,35.89,0.68,33.1015,-0.27,-0.36,-0.53,220.62,-181.45
DmiVwapStrategy,rr-2.5 | risk-2%,5m,-32.2962,-32296.2263,861,35.89,0.68,33.4074,-0.27,-0.36,-0.53,221.02,-182.23
DmiVwapStrategy,rr-3.0 | risk-0.5%,5m,-31.508,-31507.973,861,35.89,0.68,32.6257,-0.3,-0.41,-0.53,212.13,-175.83
DmiVwapStrategy,rr-3.0 | risk-1%,5m,-31.9904,-31990.41,861,35.89,0.68,33.1015,-0.27,-0.36,-0.53,220.62,-181.45
DmiVwapStrategy,rr-3.0 | risk-2%,5m,-32.2962,-32296.2263,861,35.89,0.68,33.4074,-0.27,-0.36,-0.53,221.02,-182.23
DmiVwapStrategy,dmi-10 | risk-0.5%,5m,-30.1792,-30179.2058,1168,36.39,0.74,31.8469,-0.26,-0.37,-0.52,201.54,-155.9
DmiVwapStrategy,dmi-10 | risk-1%,5m,-30.8868,-30886.8478,1168,36.39,0.74,32.5376,-0.24,-0.33,-0.52,205.67,-159.21
DmiVwapStrategy,dmi-10 | risk-2%,5m,-31.1898,-31189.8496,1168,36.39,0.74,32.8246,-0.24,-0.32,-0.52,206.0,-159.81
