name,total_return_pct,total_trades,win_rate_pct,profit_factor,max_drawdown_pct,sharpe,sortino,calmar,avg_win,avg_loss,total_pnl,elapsed_sec
FOMC Drift (no VIX filter),0.5934,16,56.25,1.51,0.5512,0.05,0.08,0.54,195.98,-167.19,593.4455,4.2
FOMC Drift (VIX>15),0.3957,2,100.0,999.99,0.2049,0.06,0.1,0.97,197.86,0.0,395.7145,2.9
"FOMC Drift (default, VIX>20)",0.0847,1,100.0,999.99,0.1796,0.02,0.03,0.24,84.67,0.0,84.6746,7.0
FOMC Drift (VIX>25),0.0847,1,100.0,999.99,0.1796,0.02,0.03,0.24,84.67,0.0,84.6746,2.9
VIX-Filtered Connors (mid+high),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
VIX-Filtered Gao (high only),-0.2008,10,40.0,0.88,1.1625,-0.02,-0.02,-0.09,384.83,-290.01,-200.7719,2.9
Gao Momentum (tight SL),-0.5765,46,50.0,0.85,1.2095,-0.03,-0.05,-0.24,141.93,-166.99,-576.4536,3.5
Gao Momentum (default),-1.8763,46,41.3,0.64,2.2816,-0.09,-0.13,-0.42,174.34,-192.18,-1876.294,3.4
Gao Momentum (dual-signal),-1.8763,46,41.3,0.64,2.2816,-0.09,-0.13,-0.42,174.34,-192.18,-1876.294,3.6
VIX-Filtered Gao (mid+high),-1.8763,46,41.3,0.64,2.2816,-0.09,-0.13,-0.42,174.34,-192.18,-1876.294,8.6
VIX-Filtered Noise (mid+high),-2.6736,50,42.0,0.78,4.4832,-0.06,-0.08,-0.3,446.8,-415.74,-2673.6378,3.7
Connors RSI(2) (thresh=3),-5.5537,54,37.04,0.41,5.7326,-0.21,-0.29,-0.5,195.62,-278.41,-5553.6989,4.3
"Connors RSI(2) (default, thresh=5)",-5.985,59,37.29,0.4,6.2297,-0.22,-0.3,-0.49,181.8,-269.86,-5984.9869,3.9
Connors RSI(2) (thresh=10),-6.476,63,36.51,0.4,6.7194,-0.23,-0.31,-0.49,185.09,-268.33,-6476.0373,2.9
Noise Boundary (wide vol 1.2x),-6.5006,310,49.68,0.85,7.9692,-0.08,-0.11,-0.42,231.36,-270.06,-6500.6291,3.6
Noise Boundary (7d lookback),-7.7915,358,50.28,0.83,9.1035,-0.1,-0.15,-0.44,218.82,-265.05,-7791.4978,3.5
Noise Boundary (21d lookback),-9.7183,341,50.15,0.8,10.5171,-0.13,-0.17,-0.48,225.23,-283.72,-9718.2511,3.5
Noise Boundary (default),-10.8135,353,49.86,0.78,11.734,-0.14,-0.19,-0.48,218.18,-278.04,-10813.5329,4.1
Connors RSI(2) (wide SL 3x ATR),-11.0591,59,30.51,0.27,11.3319,-0.29,-0.39,-0.51,225.66,-368.81,-11059.1024,3.9
Gao Momentum (no-VIX),-12.6077,263,37.26,0.42,12.8215,-0.41,-0.52,-0.51,92.72,-131.48,-12607.6978,3.2
