date,vix_close,vix_sma20,is_fomc,is_fomc_pc,is_opex,rsi2,above_sma200
2024-02-20,18.00,18.00,0,0,0,50.00,0
2024-02-21,18.00,18.00,0,0,0,50.00,0
2024-02-22,18.00,18.00,0,0,0,100.00,0
2024-02-23,18.00,18.00,0,0,0,100.00,0
2024-02-26,18.00,18.00,0,0,0,13.68,0
2024-02-27,18.00,18.00,0,0,0,32.47,0
2024-02-28,18.00,18.00,0,0,0,56.41,0
2024-02-29,18.00,18.00,0,0,0,72.69,0
2024-03-01,18.00,18.00,0,0,0,100.00,0
2024-03-04,18.00,18.00,0,0,0,89.13,0
2024-03-05,18.00,18.00,0,0,0,0.00,0
2024-03-06,18.00,18.00,0,0,0,34.19,0
2024-03-07,18.00,18.00,0,0,0,100.00,0
2024-03-08,18.00,18.00,0,0,0,61.98,0
2024-03-11,18.00,18.00,0,0,0,0.00,0
2024-03-12,18.00,18.00,0,0,0,91.74,0
2024-03-13,18.00,18.00,0,0,0,87.13,0
2024-03-14,18.00,18.00,0,0,0,0.00,0
2024-03-15,18.00,18.00,0,0,1,0.00,0
2024-03-18,18.00,18.00,0,0,0,37.53,0
2024-03-19,30.14,18.61,1,0,0,100.00,0
2024-03-20,8.88,18.15,1,1,0,100.00,0
2024-03-21,9.53,17.73,0,0,0,100.00,0
2024-03-22,8.13,17.23,0,0,0,66.80,0
2024-03-25,8.21,16.74,0,0,0,0.00,0
2024-03-26,8.15,16.25,0,0,0,0.00,0
2024-03-27,8.19,15.76,0,0,0,79.68,0
2024-03-28,8.77,15.30,0,0,0,98.90,0
2024-04-01,8.50,14.82,0,0,0,0.00,0
2024-04-02,7.88,14.32,0,0,0,0.00,0
2024-04-03,8.30,13.83,0,0,0,13.14,0
2024-04-04,7.58,13.31,0,0,0,7.46,0
2024-04-05,8.14,12.82,0,0,0,45.90,0
2024-04-08,8.18,12.33,0,0,0,100.00,0
2024-04-09,7.74,11.82,0,0,0,100.00,0
2024-04-10,7.76,11.30,0,0,0,10.78,0
2024-04-11,7.68,10.79,0,0,0,43.13,0
2024-04-12,8.15,10.30,0,0,0,34.98,0
2024-04-15,9.10,9.85,0,0,0,0.00,0
2024-04-16,9.28,9.41,0,0,0,0.00,0
2024-04-17,8.95,8.36,0,0,0,0.00,0
2024-04-18,8.98,8.36,0,0,0,0.00,0
2024-04-19,8.42,8.30,0,0,1,0.00,0
2024-04-22,8.86,8.34,0,0,0,50.84,0
2024-04-23,9.46,8.40,0,0,0,100.00,0
2024-04-24,10.19,8.51,0,0,0,97.25,0
2024-04-25,10.05,8.60,0,0,0,0.00,0
2024-04-26,9.67,8.64,0,0,0,70.28,0
2024-04-29,10.42,8.74,0,0,0,100.00,0
2024-04-30,10.57,8.87,1,0,0,18.43,0
2024-05-01,11.31,9.03,1,1,0,0.00,0
2024-05-02,11.51,9.22,0,0,0,72.71,0
2024-05-03,11.30,9.38,0,0,0,100.00,0
2024-05-06,11.45,9.54,0,0,0,100.00,0
2024-05-07,12.24,9.77,0,0,0,100.00,0
2024-05-08,12.24,9.99,0,0,0,98.36,0
2024-05-09,11.45,10.18,0,0,0,99.66,0
2024-05-10,11.30,10.34,0,0,0,100.00,0
2024-05-13,10.30,10.40,0,0,0,100.00,0
2024-05-14,9.33,10.40,0,0,0,100.00,0
2024-05-15,9.53,10.43,0,0,0,100.00,0
2024-05-16,10.04,10.48,0,0,0,85.47,0
2024-05-17,10.05,10.56,0,0,1,41.18,0
2024-05-20,9.47,10.59,0,0,0,100.00,0
2024-05-21,8.83,10.56,0,0,0,100.00,0
2024-05-22,8.07,10.46,0,0,0,46.43,0
2024-05-23,8.26,10.37,0,0,0,0.00,0
2024-05-24,8.52,10.31,0,0,0,47.84,0
2024-05-28,8.30,10.20,0,0,0,100.00,0
2024-05-29,8.08,10.08,0,0,0,8.96,0
2024-05-30,7.39,9.88,0,0,0,0.00,0
2024-05-31,7.63,9.69,0,0,0,57.56,0
2024-06-03,7.59,9.50,0,0,0,100.00,0
2024-06-04,6.67,9.26,0,0,0,100.00,0
2024-06-05,5.93,8.95,0,0,0,100.00,0
2024-06-06,6.79,8.68,0,0,0,99.68,0
2024-06-07,6.79,8.44,0,0,0,0.00,0
2024-06-10,6.44,8.20,0,0,0,71.61,0
2024-06-11,6.58,8.01,1,0,0,100.00,0
2024-06-12,6.76,7.89,1,1,0,100.00,0
2024-06-13,7.05,7.76,0,0,0,100.00,0
2024-06-14,6.22,7.57,0,0,0,100.00,0
2024-06-17,6.10,7.37,0,0,0,100.00,0
2024-06-18,6.62,7.23,0,0,0,100.00,0
2024-06-20,6.74,7.13,0,0,0,48.32,0
2024-06-21,6.77,7.06,0,0,1,0.00,0
2024-06-24,6.96,7.00,0,0,0,0.00,0
2024-06-25,6.59,6.90,0,0,0,59.17,0
2024-06-26,6.37,6.80,0,0,0,100.00,0
2024-06-27,6.42,6.72,0,0,0,100.00,0
2024-06-28,5.98,6.65,0,0,0,26.86,0
2024-07-01,5.78,6.56,0,0,0,36.16,0
2024-07-02,5.25,6.44,0,0,0,100.00,0
2024-07-03,5.71,6.39,0,0,0,100.00,0
2024-07-05,5.98,6.39,0,0,0,100.00,0
2024-07-08,5.50,6.33,0,0,0,100.00,0
2024-07-09,5.59,6.27,0,0,0,100.00,0
2024-07-10,5.56,6.23,0,0,0,100.00,0
2024-07-11,6.09,6.20,0,0,0,52.78,0
2024-07-12,6.58,6.19,0,0,0,41.83,0
2024-07-15,6.43,6.16,0,0,0,100.00,0
2024-07-16,6.50,6.18,0,0,0,100.00,0
2024-07-17,6.92,6.22,0,0,0,29.82,0
2024-07-18,7.40,6.26,0,0,0,0.00,0
2024-07-19,7.80,6.31,0,0,1,0.00,0
2024-07-22,8.12,6.38,0,0,0,60.53,0
2024-07-23,8.53,6.46,0,0,0,86.02,0
2024-07-24,8.45,6.55,0,0,0,0.00,0
2024-07-25,9.94,6.73,0,0,0,0.00,0
2024-07-26,10.25,6.92,0,0,0,67.79,0
2024-07-29,11.02,7.17,0,0,0,100.00,0
2024-07-30,10.75,7.42,1,0,0,11.76,0
2024-07-31,10.98,7.71,1,1,0,74.96,0
2024-08-01,11.70,8.01,0,0,0,53.55,0
2024-08-02,12.41,8.33,0,0,0,0.00,0
2024-08-05,13.42,8.72,0,0,0,0.00,0
2024-08-06,15.65,9.23,0,0,0,23.49,0
